Ticker,TradeId,EntryDate,ExitDate,EntryPrice,ExitPrice,HoldingDays,PnL_pct
NH.NS,1,2016-09-27,2016-11-04,327.8,329.68468571409085,26,0.5749498822729822
NH.NS,2,2017-05-31,2017-06-06,325.24,321.362,5,-1.1923502644201163
NH.NS,3,2018-02-07,2018-02-08,296.93,293.0486666666667,2,-1.307154323690202
NH.NS,4,2018-02-12,2018-02-26,309.51,293.35273333333333,10,-5.220272904483428
NH.NS,5,2019-05-27,2019-07-09,223.3,221.43679852571668,31,-0.8343938532392875
NH.NS,6,2019-08-16,2019-09-20,237.1,225.5893600155646,24,-4.854761697357818
NH.NS,7,2019-10-24,2020-02-03,241.69,342.11973520607154,71,41.55311978405045
NH.NS,8,2020-07-27,2020-07-28,299.37,295.6036666666667,2,-1.2580864259389073
NH.NS,9,2020-08-10,2020-09-08,320.27,303.688785835329,22,-5.177261112396103
NH.NS,10,2020-11-13,2021-01-28,358.76,436.5757222135908,52,21.690189043815028
NH.NS,11,2021-02-05,2021-02-23,500.66,448.9861736981111,13,-10.321141353790782
NH.NS,12,2021-05-14,2021-07-20,429.69,481.55137189084377,48,12.069485417590302
NH.NS,13,2021-08-06,2021-08-11,535.24,493.335445671052,4,-7.82911485108512
NH.NS,14,2021-11-02,2021-11-29,545.24,526.5046662154774,18,-3.436162751177939
NH.NS,15,2021-12-31,2022-02-22,633.51,613.1998083003488,37,-3.2059780744820485
NH.NS,16,2022-02-28,2022-04-25,678.98,688.1291734688574,37,1.3474879184743858
NH.NS,17,2022-07-15,2022-07-25,660.65,654.3422666666667,7,-0.9547768611720755
NH.NS,18,2022-08-18,2023-01-04,713.4,722.6746836217686,96,1.300067791108585
NH.NS,19,2023-02-24,2023-03-24,744.16,746.3621869669324,20,0.2959292312046413
NH.NS,20,2023-05-22,2023-08-09,824.71,984.5966089656844,57,19.387009853849758
NH.NS,21,2023-09-14,2023-10-23,1085.96,1025.443855957754,26,-5.572594206254924
NH.NS,22,2023-11-15,2024-02-29,1127.18,1312.1325050170842,73,16.4084267833961
NH.NS,23,2024-07-29,2024-07-31,1270.98,1252.5867333333333,3,-1.4471719985103388
NH.NS,24,2024-09-06,2024-09-17,1342.64,1273.5557937988142,8,-5.145400569116509
NH.NS,25,2024-12-06,2025-01-13,1336.65,1274.5623838702263,26,-4.645016730615627
NH.NS,26,2025-02-25,2025-04-07,1462.11,1552.751441434284,27,6.1993585594985445
NH.NS,27,2025-04-16,2025-07-02,1789.09,1981.071982634872,54,10.730705701494733
NH.NS,28,2025-11-17,2025-12-15,2008.2,1847.2706541161042,21,-8.013611487097693
