Ticker,TradeId,EntryDate,ExitDate,EntryPrice,ExitPrice,HoldingDays,PnL_pct
RELIANCE.NS,1,2006-08-16,2006-12-11,104.16,122.45353744715395,81,17.56291997614627
RELIANCE.NS,2,2007-01-12,2007-02-27,133.32,133.20089204422567,30,-0.08933990082082591
RELIANCE.NS,3,2007-04-13,2007-08-06,141.81,179.5522955205622,80,26.614692560864682
RELIANCE.NS,4,2007-08-31,2007-10-09,196.94,223.703867308041,27,13.58985848890068
RELIANCE.NS,5,2007-12-03,2007-12-17,294.77,273.2372201600853,11,-7.304942782479448
RELIANCE.NS,6,2008-01-04,2008-01-18,300.6,292.7366883593268,11,-2.615872135952496
RELIANCE.NS,7,2009-04-02,2009-06-15,167.74,219.3512908823759,48,30.76862458708471
RELIANCE.NS,8,2009-09-09,2009-10-23,218.94,210.54481538494338,29,-3.834468171671061
RELIANCE.NS,9,2009-11-23,2009-11-27,223.06,207.01333333333332,5,-7.193879075883924
RELIANCE.NS,10,2010-03-16,2010-04-19,217.06,216.35278327106775,22,-0.32581623925746434
RELIANCE.NS,11,2010-06-28,2010-07-28,223.21,213.933,23,-4.156175798575339
RELIANCE.NS,12,2010-10-11,2010-11-15,218.92,213.87688857220874,25,-2.303632115746047
RELIANCE.NS,13,2010-12-21,2011-01-10,219.73,211.44766764822506,15,-3.769322510251184
RELIANCE.NS,14,2011-03-14,2011-03-15,208.51,206.0964,2,-1.157546400652248
RELIANCE.NS,15,2012-01-27,2012-01-30,169.53,166.317,2,-1.895239780569807
RELIANCE.NS,16,2012-02-01,2012-02-27,171.76,165.5008,18,-3.6441546343735407
RELIANCE.NS,17,2012-07-31,2012-08-01,155.69,155.0242,2,-0.4276446785278375
RELIANCE.NS,18,2012-08-06,2012-10-05,164.58,168.2991518367146,41,2.259783592608207
RELIANCE.NS,19,2012-12-04,2013-02-08,172.67,180.39815167182556,48,4.475677113468218
RELIANCE.NS,20,2013-05-16,2013-05-22,178.13,173.2184,5,-2.7573120754505096
RELIANCE.NS,21,2013-06-28,2013-07-30,182.78,182.47013532517974,23,-0.16952876398963843
RELIANCE.NS,22,2013-10-18,2013-11-11,191.9,182.35844437161634,16,-4.972149884514676
RELIANCE.NS,23,2014-03-07,2014-06-19,184.22,226.09473919569044,70,22.730832263429836
RELIANCE.NS,24,2014-09-02,2014-09-16,219.08,210.88787217766773,11,-3.7393316698613663
RELIANCE.NS,25,2015-05-20,2015-05-26,196.93,193.07513333333333,5,-1.957480661487168
RELIANCE.NS,26,2015-06-17,2015-07-31,201.78,214.8006476423623,33,6.452893072832932
RELIANCE.NS,27,2015-10-07,2015-10-08,198.01,196.51673333333332,2,-0.7541369964479928
RELIANCE.NS,28,2015-10-19,2015-11-10,208.77,199.54153333333332,16,-4.420398844022939
RELIANCE.NS,29,2015-11-26,2015-12-09,214.22,201.56053333333332,10,-5.90956337721346
RELIANCE.NS,30,2015-12-17,2016-01-20,218.79,218.271847802278,24,-0.23682627072626855
RELIANCE.NS,31,2016-03-08,2016-04-26,222.53,221.80782063450707,31,-0.3245312387062123
RELIANCE.NS,32,2016-07-12,2016-08-03,219.87,217.34666666666666,17,-1.147647852518916
RELIANCE.NS,33,2016-08-29,2016-09-02,231.71,220.98655705490128,5,-4.627958631521611
RELIANCE.NS,34,2016-09-16,2016-10-13,235.68,231.13765504987475,18,-1.9273357731352914
RELIANCE.NS,35,2016-12-14,2017-01-17,232.16,228.03778912808835,25,-1.7755904858337561
RELIANCE.NS,36,2017-02-16,2017-05-05,233.91,294.9800257425219,52,26.10834326985674
RELIANCE.NS,37,2017-06-15,2017-08-11,303.26,341.6852834615288,41,12.670739122049993
RELIANCE.NS,38,2017-09-06,2017-09-27,363.41,352.25754213906066,16,-3.0688362623316263
RELIANCE.NS,39,2017-10-12,2017-11-10,385.52,390.1333366056908,21,1.1966529896479534
RELIANCE.NS,40,2018-01-09,2018-02-02,415.65,408.35180997783976,18,-1.755849879023268
RELIANCE.NS,41,2018-04-13,2018-05-18,414.72,412.6450730095444,25,-0.5003199726214437
RELIANCE.NS,42,2018-06-13,2018-06-28,442.84,423.79212436073203,12,-4.301299710791244
RELIANCE.NS,43,2018-07-11,2018-09-05,461.94,545.1196151019273,39,18.00658421048778
RELIANCE.NS,44,2018-11-29,2018-12-10,519.61,486.7063333333333,8,-6.332377488244396
RELIANCE.NS,45,2019-01-18,2019-05-08,526.66,591.114224313686,71,12.238298772203327
RELIANCE.NS,46,2019-09-27,2019-12-26,585.61,684.5671746348727,60,16.898136069205215
RELIANCE.NS,47,2020-04-24,2020-05-20,633.9,630.6192,18,-0.5175579744439185
RELIANCE.NS,48,2020-06-18,2020-10-19,747.79,980.5912193829776,87,31.131897910239186
RELIANCE.NS,49,2021-01-20,2021-01-22,931.67,925.2700666666665,3,-0.6869313526606502
RELIANCE.NS,50,2021-02-25,2021-03-17,972.32,935.4617333333334,14,-3.790754758378581
RELIANCE.NS,51,2021-05-28,2021-06-25,949.85,966.2704877352404,21,1.7287453529757735
RELIANCE.NS,52,2021-08-16,2021-10-29,988.97,1163.8387392330708,52,17.681905339198433
RELIANCE.NS,53,2022-01-12,2022-01-24,1147.13,1089.9868674551124,9,-4.9813998888432645
RELIANCE.NS,54,2022-03-22,2022-05-06,1151.7,1189.6114794501764,31,3.291784271092848
RELIANCE.NS,55,2022-06-03,2022-06-15,1264.71,1178.4573976793977,9,-6.819951002253667
RELIANCE.NS,56,2022-08-01,2022-09-16,1171.59,1157.6131333333333,32,-1.1929827556283885
RELIANCE.NS,57,2022-10-31,2022-11-01,1163.88,1162.3904666666667,2,-0.12797997502606656
RELIANCE.NS,58,2022-11-07,2022-11-21,1189.9,1161.5175333333334,10,-2.385281676331346
RELIANCE.NS,59,2022-11-28,2022-12-16,1235.99,1168.3113551369217,15,-5.47566281790939
RELIANCE.NS,60,2023-05-04,2023-05-05,1117.5,1117.4074,2,-0.008286353467556833
RELIANCE.NS,61,2023-05-08,2023-05-16,1128.41,1119.7323333333334,7,-0.7690171716545147
RELIANCE.NS,62,2023-05-29,2023-06-02,1150.65,1121.2162666666666,5,-2.558009241153567
RELIANCE.NS,63,2023-06-14,2023-08-28,1164.91,1212.2687795313198,52,4.06544535898221
RELIANCE.NS,64,2023-11-21,2023-11-30,1180.71,1178.2572666666667,7,-0.20773376471219002
RELIANCE.NS,65,2023-12-04,2024-03-13,1201.21,1427.1807703349857,69,18.811928833008853
RELIANCE.NS,66,2024-06-03,2024-06-04,1499.23,1406.0329465230568,2,-6.216327946808909
RELIANCE.NS,67,2024-06-27,2024-07-22,1519.3,1493.7496433352455,17,-1.681718993270218
RELIANCE.NS,68,2025-04-28,2025-07-21,1363.35,1447.8912346016375,60,6.200992745930069
RELIANCE.NS,69,2025-10-20,2026-01-06,1466.8,1525.5660685460762,54,4.006413181488697
