TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
1,2006-08-16,104.16,96.7139146861852,2006-12-11,122.45353744715395,TRAILING_STOP,81,17.56291997614627,25.748847926267278,-1.1808755760368566
2,2007-01-12,133.32,125.1804236750505,2007-02-27,133.20089204422567,TRAILING_STOP,30,-0.08933990082082591,7.830783078307829,-3.3228322832283284
3,2007-04-13,141.81,132.96391921830653,2007-08-06,179.5522955205622,TRAILING_STOP,80,26.614692560864682,38.001551371553475,-2.6020731965305672
4,2007-08-31,196.94,179.27946431553133,2007-10-09,223.703867308041,TRAILING_STOP,27,13.58985848890068,29.125622016857932,-3.1634000203107493
5,2007-12-03,294.77,272.0639001346006,2007-12-17,273.2372201600853,TRAILING_STOP,11,-7.304942782479448,1.8081894358313402,-4.552702106727265
6,2008-01-04,300.6,276.2699991407433,2008-01-18,292.7366883593268,TRAILING_STOP,11,-2.615872135952496,10.192947438456414,-2.9707252162342006
7,2009-04-02,167.74,145.11952990850645,2009-06-15,219.3512908823759,TRAILING_STOP,48,30.76862458708471,52.58733754620244,-3.559079527840705
8,2009-09-09,218.94,199.50030428589798,2009-10-23,210.54481538494338,TRAILING_STOP,29,-3.834468171671061,5.983374440485975,-5.092719466520511
9,2009-11-23,223.06,200.24312764571016,2009-11-27,207.01333333333332,SMA150_BREAK,5,-7.193879075883924,1.4076929973997965,-4.025822648614718
10,2010-03-16,217.06,201.38860059314553,2010-04-19,216.35278327106775,TRAILING_STOP|SMA150_BREAK,22,-0.32581623925746434,7.6522620473601695,-3.648760711324065
11,2010-06-28,223.21,208.6063203720804,2010-07-28,213.933,TRAILING_STOP|SMA150_BREAK,23,-4.156175798575339,0.3942475695533334,-3.902154921374494
12,2010-10-11,218.92,204.99841040128308,2010-11-15,213.87688857220874,TRAILING_STOP,25,-2.303632115746047,5.207381691942265,-3.3619587063767518
13,2010-12-21,219.73,204.71050446832828,2011-01-10,211.44766764822506,TRAILING_STOP|SMA150_BREAK,15,-3.769322510251184,1.7020889273198967,-2.8808082646884743
14,2011-03-14,208.51,194.68141725615817,2011-03-15,206.0964,SMA150_BREAK,2,-1.157546400652248,0.23500071938996167,-2.5658241810944293
15,2012-01-27,169.53,153.57892453674435,2012-01-30,166.317,SMA150_BREAK,2,-1.895239780569807,0.9142924556125827,-2.6072081637468223
16,2012-02-01,171.76,156.09798708353762,2012-02-27,165.5008,TRAILING_STOP|SMA150_BREAK,18,-3.6441546343735407,4.028877503493256,-3.1904983698183456
17,2012-07-31,155.69,147.82014273023327,2012-08-01,155.0242,SMA150_BREAK,2,-0.4276446785278375,0.33399704541075875,-3.0380885092170273
18,2012-08-06,164.58,153.2253397213364,2012-10-05,168.2991518367146,TRAILING_STOP|SMA150_BREAK,41,2.259783592608207,12.152144853566654,-4.836553651719533
19,2012-12-04,172.67,162.21895489849763,2013-02-08,180.39815167182556,TRAILING_STOP,48,4.475677113468218,15.798922800718135,-2.2702264435049444
20,2013-05-16,178.13,166.2825053503071,2013-05-22,173.2184,SMA150_BREAK,5,-2.7573120754505096,1.706618761578618,-2.9921967102677733
21,2013-06-28,182.78,169.30195596300658,2013-07-30,182.47013532517974,TRAILING_STOP,23,-0.16952876398963843,7.571944414049679,-2.735529051318525
22,2013-10-18,191.9,178.26131311101344,2013-11-11,182.35844437161634,TRAILING_STOP,16,-4.972149884514676,2.30849400729547,-3.8092756644085473
23,2014-03-07,184.22,172.5139003215343,2014-06-19,226.09473919569044,TRAILING_STOP,70,22.730832263429836,33.03115839756812,-5.1025947236999265
24,2014-09-02,219.08,208.3454446381645,2014-09-16,210.88787217766773,TRAILING_STOP,11,-3.7393316698613663,1.7117034873105712,-2.2274968048201678
25,2015-05-20,196.93,184.25670085865542,2015-05-26,193.07513333333333,SMA150_BREAK,5,-1.957480661487168,0.7210683999390582,-1.8128268928045463
26,2015-06-17,201.78,189.9299153455464,2015-07-31,214.8006476423623,TRAILING_STOP,33,6.452893072832932,14.674397859054409,-3.9944494003370017
27,2015-10-07,198.01,184.17589254690247,2015-10-08,196.51673333333332,SMA150_BREAK,2,-0.7541369964479928,0.46462299883845054,-2.49482349376294
28,2015-10-19,208.77,191.1915953552908,2015-11-10,199.54153333333332,SMA150_BREAK,16,-4.420398844022939,1.197490060832495,-4.1528955309671005
29,2015-11-26,214.22,200.75856806713207,2015-12-09,201.56053333333332,TRAILING_STOP|SMA150_BREAK,10,-5.90956337721346,0.392120250210066,-5.312295770703013
30,2015-12-17,218.79,203.85306063513175,2016-01-20,218.271847802278,TRAILING_STOP,24,-0.23682627072626855,7.925407925407928,-3.139997257644319
31,2016-03-08,222.53,205.88482196883942,2016-04-26,221.80782063450707,TRAILING_STOP,31,-0.3245312387062123,5.352087359007773,-2.098593448074411
32,2016-07-12,219.87,207.70672262588866,2016-08-03,217.34666666666666,SMA150_BREAK,17,-1.147647852518916,3.52026197298404,-1.2370946468367667
33,2016-08-29,231.71,219.68513195656035,2016-09-02,220.98655705490128,TRAILING_STOP,5,-4.627958631521611,1.566613439212807,-2.9994389538647517
34,2016-09-16,235.68,222.00010083279173,2016-10-13,231.13765504987475,TRAILING_STOP,18,-1.9273357731352914,5.01951799049558,-1.5317379497623955
35,2016-12-14,232.16,218.80513409628495,2017-01-17,228.03778912808835,TRAILING_STOP,25,-1.7755904858337561,3.5880427291523147,-2.011543762922117
36,2017-02-16,233.91,223.00945286407986,2017-05-05,294.9800257425219,TRAILING_STOP,52,26.10834326985674,37.49732803214912,-1.3979735795818948
37,2017-06-15,303.26,286.652367793872,2017-08-11,341.6852834615288,TRAILING_STOP,41,12.670739122049993,21.255688188353243,-1.7971377695706618
38,2017-09-06,363.41,342.50366386880523,2017-09-27,352.25754213906066,TRAILING_STOP,16,-3.0688362623316263,6.053768470873118,-2.127074103629514
39,2017-10-12,385.52,357.5486560657508,2017-11-10,390.1333366056908,TRAILING_STOP,21,1.1966529896479534,9.745279103548453,-3.5121394480182517
40,2018-01-09,415.65,396.88213573650177,2018-02-02,408.35180997783976,TRAILING_STOP,18,-1.755849879023268,5.312161674485756,-3.608805485384338
41,2018-04-13,414.72,392.4536811765078,2018-05-18,412.6450730095444,TRAILING_STOP,25,-0.5003199726214437,7.6847029320987525,-1.8807870370370394
42,2018-06-13,442.84,414.12318039005527,2018-06-28,423.79212436073203,TRAILING_STOP,12,-4.301299710791244,3.3398067021949287,-3.3285159425526047
43,2018-07-11,461.94,430.54478279898603,2018-09-05,545.1196151019273,TRAILING_STOP,39,18.00658421048778,27.93436377018661,-2.017578040438151
44,2018-11-29,519.61,484.9311587287321,2018-12-10,486.7063333333333,TRAILING_STOP|SMA150_BREAK,8,-6.332377488244396,1.4992013240699684,-5.146167317796041
45,2019-01-18,526.66,492.66017815148524,2019-05-08,591.114224313686,TRAILING_STOP,71,12.238298772203327,19.68632514335626,-4.1449891770781875
46,2019-09-27,585.61,542.2056434447198,2019-12-26,684.5671746348727,TRAILING_STOP,60,16.898136069205215,23.56687898089172,-2.120865422380075
47,2020-04-24,633.9,540.1320312961867,2020-05-20,630.6192,SMA150_BREAK,18,-0.5175579744439185,13.97381290424358,-4.926644581164225
