Ticker,TradeId,EntryDate,ExitDate,EntryPrice,ExitPrice,HoldingDays,PnL_pct
NSE_PHARMA,1,2011-10-25,2011-11-09,4655.75,4650.586333333333,9,-0.11090944888937912
NSE_PHARMA,2,2012-01-09,2012-05-11,4699.4,4988.251377170749,84,6.146558649417998
NSE_PHARMA,3,2012-06-27,2012-09-17,5113.55,5542.343072642645,57,8.385428374468711
NSE_PHARMA,4,2012-11-01,2013-01-22,5713.3,5925.56863817391,55,3.715342064549551
NSE_PHARMA,5,2013-03-11,2013-06-20,6001.65,6563.026766806725,69,9.353707177305004
NSE_PHARMA,6,2013-07-02,2013-08-06,6880.95,6924.454831474582,26,0.6322503647691352
NSE_PHARMA,7,2013-09-10,2013-11-21,7192.7,7300.958296656431,49,1.5051134713867034
NSE_PHARMA,8,2013-12-19,2014-03-10,7597.65,7829.491002164083,56,3.051483052839799
NSE_PHARMA,9,2014-04-09,2014-05-16,8029.25,7774.320335131836,24,-3.1750121725959946
NSE_PHARMA,10,2014-06-12,2014-10-08,8002.65,10248.594654340179,79,28.065011644145116
NSE_PHARMA,11,2014-11-05,2014-12-16,11021.6,10881.703055351172,29,-1.2692979662556085
NSE_PHARMA,12,2015-01-29,2015-04-17,11752.05,12896.795959722696,52,9.74081934405229
NSE_PHARMA,13,2015-07-06,2015-07-21,12463.9,12360.654049233539,12,-0.8283599095504677
NSE_PHARMA,14,2015-08-19,2015-08-24,13335.85,12616.232062617339,4,-5.39611601347242
NSE_PHARMA,15,2015-10-06,2015-11-05,13275.75,12758.723379134797,22,-3.894519110899217
NSE_PHARMA,16,2016-07-07,2016-08-11,11527.05,11312.100624559702,26,-1.8647388138361285
NSE_PHARMA,17,2016-09-08,2016-09-29,11936.65,11364.125912216556,15,-4.796354821356444
NSE_PHARMA,18,2017-10-17,2017-10-18,9740.55,9652.804,2,-0.9008320885370867
NSE_PHARMA,19,2017-11-02,2017-11-07,10004.5,9574.142333333333,4,-4.301640928248956
NSE_PHARMA,20,2017-12-27,2018-01-31,9639.85,9394.776,25,-2.54230096941343
NSE_PHARMA,21,2018-08-17,2018-09-21,9693.85,10002.65391154414,23,3.1855651938511405
NSE_PHARMA,22,2019-04-01,2019-04-02,9375.4,9302.521666666667,2,-0.777335722564714
NSE_PHARMA,23,2019-11-25,2019-11-26,8211.55,8132.724333333333,2,-0.9599365121891315
NSE_PHARMA,24,2020-01-16,2020-02-03,8203.1,8020.41506101166,13,-2.2270231862142364
NSE_PHARMA,25,2020-04-08,2020-08-31,8412.2,11170.137127552785,100,32.78496858791736
NSE_PHARMA,26,2020-09-17,2020-09-24,11735.95,11423.089525639332,6,-2.665829987011434
NSE_PHARMA,27,2020-12-01,2020-12-21,12045.15,12014.037519842866,15,-0.2582988186708607
NSE_PHARMA,28,2020-12-24,2021-01-18,12908.95,12603.515975894421,17,-2.3660640416577623
NSE_PHARMA,29,2021-04-06,2021-07-27,12548.6,14085.364011745638,77,12.246497710865256
NSE_PHARMA,30,2021-10-04,2021-10-21,14812.4,14059.961842202154,13,-5.0797855701833985
NSE_PHARMA,31,2022-11-01,2022-11-14,13492.05,12899.631061219383,9,-4.390874172424623
NSE_PHARMA,32,2023-04-12,2023-04-13,12574.2,12572.263,2,-0.01540455854050276
NSE_PHARMA,33,2023-04-18,2023-04-19,12607.35,12569.943000000001,2,-0.2967078727884864
NSE_PHARMA,34,2023-05-09,2023-05-11,12716.7,12565.665333333334,3,-1.187687581421803
NSE_PHARMA,35,2023-06-01,2023-10-23,12812.8,14941.969926233869,99,16.617522526175932
NSE_PHARMA,36,2023-11-08,2024-03-19,15497.25,18465.607341267005,89,19.15409083074097
NSE_PHARMA,37,2024-05-22,2024-06-04,19317.4,18421.046052620684,10,-4.640137634357196
NSE_PHARMA,38,2024-06-07,2024-10-23,19578.0,22729.055892102373,95,16.094881459303163
NSE_PHARMA,39,2024-12-27,2025-01-13,23008.35,22251.207878294907,12,-3.2907275910923293
NSE_PHARMA,40,2025-06-11,2025-06-17,22057.15,21633.738666666664,5,-1.9196103455493436
NSE_PHARMA,41,2025-07-04,2025-08-01,22384.6,22047.52317532311,21,-1.5058425197541585
NSE_PHARMA,42,2025-09-18,2025-09-26,22574.35,21699.933810040064,7,-3.8734944304484293
NSE_PHARMA,43,2025-11-13,2026-01-16,22686.8,22321.73143905641,44,-1.6091672732319655
