TradeId,EntryDate,EntryPrice,InitialStop,ExitDate,ExitPrice,ExitReason,HoldingDays,PnL_pct,MaxFavorablePct,MaxAdversePct
1,2023-06-22,548.25,508.3767991685916,2023-08-07,612.3879148664777,TRAILING_STOP,32,11.698662082348868,26.03739170086639,-4.240766073871409
2,2023-12-15,608.85,564.1563432737835,2023-12-20,581.5753333333332,SMA150_BREAK,4,-4.479702170759103,1.8313213435164617,-4.294982343762828
3,2024-01-11,630.2,579.8923331125515,2024-02-01,602.6344867826,TRAILING_STOP|SMA150_BREAK,14,-4.374089688575063,7.0850523643287815,-3.943192637258017
4,2025-05-14,185.08,161.84045370917102,2025-05-20,174.37913333333333,SMA150_BREAK,5,-5.781752035155978,2.658309920034573,-8.147827966284856
5,2025-06-12,195.73,174.56571453814823,2025-07-08,185.05853925715692,TRAILING_STOP,19,-5.4521334199371925,8.210289684769847,-4.8178613396004595
6,2025-09-11,178.05,163.5452206366762,2025-10-16,183.1846794474719,TRAILING_STOP,25,2.8838413072012816,10.47458579050827,-3.1171019376579676
