Ticker,total_trades,win_rate_pct,cumulative_return_pct,max_drawdown_pct,expectancy_pct
^CNXSC,0,0.0,0.0,0.0,0.0
^NSEI,60,45.0,125.59808449427604,-25.307769993924857,1.5276666666666672
AXISBANK.NS,3582,0.0,0.0,0.0,0.0
BHARTIARTL.NS,3672,0.0,0.0,0.0,0.0
BHEL.NS,59,44.06779661016949,69.57179964580243,-34.001498662496545,1.3184745762711865
BLUEJET.NS,5,60.0,24.453859890350515,-10.760000000000007,5.545999999999999
ETERNAL.NS,13,53.84615384615385,101.64040078716252,-10.23000000000001,7.106923076923078
FUSION.NS,6,33.33333333333333,-6.485871390111098,-18.624606315822387,-0.9166666666666679
GABRIEL.NS,66,30.303030303030305,253.62613032432924,-57.46857294506638,3.239393939393941
HINDUNILVR.NS,2747,0.03640334910811795,844.2946292037365,-10.106575462599986,0.3500291226792865
ICICIBANK.NS,3313,0.0,0.0,0.0,0.0
ITC.NS,3286,0.030432136335970784,152.66000000000003,0.0,0.046457699330493
LAURUSLABS.NS,29,37.93103448275862,127.8137949518337,-29.144158881584232,4.248275862068965
LT.NS,3391,0.029489826010026542,1608.68,0.0,0.474396933058095
MAHABANK.NS,58,37.93103448275862,31.81736851633028,-54.37297695570739,1.0203448275862068
NH.NS,28,39.285714285714285,58.055783656707845,-13.857527199200007,2.183571428571428
NIFTYMIDSML400.NS,0,0.0,0.0,0.0,0.0
NSE_AUTO,45,42.22222222222222,185.37913631037583,-13.106473927136006,2.642222222222223
NSE_BANK,53,47.16981132075472,369.73795548042744,-10.641462236560015,3.314150943396226
NSE_ENERGY,54,27.77777777777778,56.64492349282351,-24.322236102963807,1.126111111111111
NSE_FMCG,45,42.22222222222222,139.45810166653519,-14.770418066915958,2.1422222222222222
NSE_INFRA,53,26.41509433962264,28.913931202884456,-18.023137787612807,0.6328301886792447
NSE_IT,57,35.08771929824561,563.7152692602743,-15.303617096333086,3.9492982456140346
NSE_METAL,46,45.65217391304348,113.83538471075707,-18.833964010675942,1.8943478260869562
NSE_PHARMA,43,34.883720930232556,144.22052324139352,-22.805188644908412,2.4306976744186044
NTPC.NS,4041,0.0,0.0,0.0,0.0
ONGC.NS,4054,0.0,-4.090000000000005,0.0,-0.0010088801184015787
RELIANCE.NS,69,31.88405797101449,315.7206339859723,-26.960288651948595,2.4876811594202897
SBIN.NS,3704,0.0,-1.4100000000000001,0.0,-0.0003806695464362851
SHRIPISTON.NS,22,36.36363636363637,212.16340132922147,-19.05407199999999,7.720909090909091
SHRIRAMFIN.NS,67,35.82089552238806,348.7436729118995,-32.42707513646717,2.99731343283582
SYRMA.NS,11,54.54545454545454,79.30282001435059,-10.312240000000008,6.719999999999997
TATVA.NS,5,40.0,-5.607500970495993,-11.798579199999997,-0.8939999999999997
TMCV.NS,0,0.0,0.0,0.0,0.0
WINDLAS.NS,15,26.666666666666668,-24.132260909268332,-30.36827060246124,-1.4939999999999998
